[2, 1]	3	0	(1, 1)	False
(1, 1)	0	0	(1, 2)	False
(1, 2)	0	0	(1, 3)	False
(1, 3)	3	0	(0, 3)	False
(0, 3)	0	0	(0, 4)	False
(0, 4)	0	0	(0, 5)	False
(0, 5)	1	0	(1, 5)	False
(1, 5)	0	0	(1, 6)	False
(1, 6)	0	0	(1, 7)	False
(1, 7)	1	0	(2, 7)	False
(2, 7)	1	0	(3, 7)	False
(3, 7)	0	0	(3, 8)	False
(3, 8)	1	0	(4, 8)	False
(4, 8)	1	0	(5, 8)	False
(5, 8)	2	0	(5, 7)	False
(5, 7)	1	0	(6, 7)	False
(6, 7)	2	0	(6, 6)	False
(6, 6)	1	0	(7, 6)	False
(7, 6)	1	0	(8, 6)	False
(8, 6)	0	0	(8, 7)	False
(8, 7)	1	0	(9, 7)	False
(9, 7)	1	0	(10, 7)	False
(10, 7)	2	0	(10, 6)	False
(10, 6)	2	0	(10, 5)	False
(10, 5)	3	0	(9, 5)	False
(9, 5)	2	0	(9, 4)	False
(9, 4)	2	0	(9, 3)	False
(9, 3)	1	0	(10, 3)	False
(10, 3)	2	0	(10, 2)	False
(10, 2)	2	1	(10, 1)	True
